stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.11550] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11559] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.11567] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11594] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.11613] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11638] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.11651] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11662] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.11681] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11698] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11722] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11749] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11773] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11793] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.11822] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11838] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.11850] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11865] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.11876] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11891] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.11904] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11924] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.11936] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11964] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.11976] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12002] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12015] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12028] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12038] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12049] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12058] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12070] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12085] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12102] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12110] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12121] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12131] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12141] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12150] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12174] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.12191] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12202] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.12243] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12254] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12264] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12279] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12296] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12322] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12334] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12344] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12360] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12373] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12386] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12402] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12413] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12426] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12433] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12456] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.12467] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12477] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.12543] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12563] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12593] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12654] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12666] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12737] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12747] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12807] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12821] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12833] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12867] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12929] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12952] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12967] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12994] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13026] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13076] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13122] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13133] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13147] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13161] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13173] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13185] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13194] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13204] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13213] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13221] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13231] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13243] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13258] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13273] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13284] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13296] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13308] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13354] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13388] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13474] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13487] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13503] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13518] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13537] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13558] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13602] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13626] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13653] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13663] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13671] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13684] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13728] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13743] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13753] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13767] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13783] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13796] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13816] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13836] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13853] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13864] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13885] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13897] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13906] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13920] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13934] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13961] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13981] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14001] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14016] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14032] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14103] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14214] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14239] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14300] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14345] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14407] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14418] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14442] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14465] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14492] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14569] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14637] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14653] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14667] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14691] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14733] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14757] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14771] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14784] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14796] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14807] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14818] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14848] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14859] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14871] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14882] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14893] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14902] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14911] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14922] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14931] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14945] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14959] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14972] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14984] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15036] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15069] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15096] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15110] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15126] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15139] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15155] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15180] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15208] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15225] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15238] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15249] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15261] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15271] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15284] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15292] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15303] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15313] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15323] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15332] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15342] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15359] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
